i1;i2;i3;i4;i5;i6;i7;i8;i9;only l3 correct;only l+3 correct;both correct;only l+3 correct (1);only l+3 correct (2);only l+3 correct (3);only l+3 correct (4)
2;6;6;6;7;9;9;9;9;1284;852;1740;80;472;28;272
4;5;6;9;9;9;9;9;9;7440;6468;22692;0;3252;906;2310
6;6;6;8;9;9;9;9;9;12240;11808;40032;0;4752;2520;4536
3;4;4;5;6;7;8;9;9;80;8;28;0;4;0;4
2;5;5;6;7;8;9;9;9;640;334;530;32;176;43;83
4;5;5;6;8;8;8;9;9;1536;1104;840;176;176;14;738
3;5;7;7;7;7;8;9;9;1186;970;326;28;806;12;124
3;6;6;6;8;8;8;9;9;1980;1548;1044;320;264;28;936
5;5;6;6;6;9;9;9;9;2160;864;3024;0;432;0;432
5;7;7;9;9;9;9;9;9;13840;13696;72704;0;4896;4960;3840
3;5;5;7;7;7;9;9;9;1352;920;376;40;736;16;128
4;5;6;8;8;8;9;9;9;5664;4800;6864;184;1528;1088;2000
3;3;5;7;7;9;9;9;9;1264;400;896;32;208;16;144
2;6;6;6;7;8;8;9;9;696;444;420;60;174;4;206
3;7;7;7;8;9;9;9;9;6404;5972;13468;276;2392;1204;2100
4;6;6;6;7;7;9;9;9;3192;1464;1128;24;1152;24;264
3;4;4;5;6;8;9;9;9;176;32;112;0;16;0;16
5;5;6;6;9;9;9;9;9;5760;4464;11088;0;2304;192;1968
6;7;7;7;9;9;9;9;9;15120;14904;49896;0;5328;3384;6192
2;4;6;6;6;7;8;9;9;210;30;78;4;16;0;10
3;4;4;6;7;7;9;9;9;464;176;112;16;128;0;32
5;5;7;9;9;9;9;9;9;10480;10048;41792;0;4608;2224;3216
2;5;5;5;6;7;9;9;9;208;28;80;4;16;0;8
4;6;7;8;8;9;9;9;9;9146;8498;22606;134;2804;2246;3314
4;4;7;8;9;9;9;9;9;6000;4920;15816;0;2328;672;1920
5;7;8;8;9;9;9;9;9;14800;14656;71744;0;4032;5992;4632
2;6;6;7;8;8;9;9;9;2090;1658;2230;124;728;278;528
4;4;5;5;6;8;8;9;9;204;60;156;12;12;0;36
2;3;5;8;9;9;9;9;9;1572;420;1308;6;186;36;192
2;3;4;5;9;9;9;9;9;408;48;168;0;24;0;24
4;6;6;7;7;9;9;9;9;5040;3960;7704;88;1968;240;1664
5;7;7;7;7;8;8;9;9;6000;5424;3216;48;2208;48;3120
3;8;9;9;9;9;9;9;9;8880;8880;68880;0;6120;1920;840
5;5;8;8;8;8;8;9;9;8952;8736;4224;1008;576;96;7056
6;8;8;8;8;8;9;9;9;23040;23040;41760;0;2400;6000;14640
3;3;7;7;7;7;9;9;9;816;672;192;24;552;0;96
3;4;4;5;7;7;9;9;9;232;88;56;8;64;0;16
2;4;6;6;7;7;9;9;9;552;264;168;16;208;0;40
3;3;4;5;9;9;9;9;9;816;96;336;0;48;0;48
5;5;5;6;7;9;9;9;9;2520;1440;3744;0;720;48;672
8;8;8;8;8;8;8;9;9;30240;30240;15120;0;0;0;30240
4;4;5;5;6;7;8;9;9;204;24;84;0;12;0;12
3;5;6;7;7;8;8;9;9;1502;1070;874;72;418;20;560
6;7;7;8;9;9;9;9;9;16080;15936;70464;0;4464;5748;5724
5;5;5;6;6;8;9;9;9;1536;384;1344;0;192;0;192
4;5;6;8;8;8;8;9;9;4226;3794;2038;538;406;52;2798
2;5;5;8;8;9;9;9;9;1788;1140;2748;120;528;168;324
2;5;6;7;8;9;9;9;9;1924;1330;3044;110;640;183;397
3;3;4;7;7;8;8;9;9;472;112;104;12;44;0;56
5;6;7;7;9;9;9;9;9;10880;10232;31240;0;4176;2020;4036
4;7;9;9;9;9;9;9;9;11520;11520;85680;0;5760;4080;1680
4;4;5;6;7;7;8;9;9;542;254;178;14;192;4;44
4;5;5;8;8;8;8;9;9;2936;2504;1384;420;264;20;1800
2;3;5;5;6;7;9;9;9;82;10;26;2;4;0;4
5;6;6;9;9;9;9;9;9;11040;10608;41232;0;4896;2040;3672
4;5;5;5;8;8;9;9;9;1332;684;1260;36;216;216;216
5;5;6;6;7;8;9;9;9;3456;1944;3240;12;1008;196;728
5;5;5;8;8;8;8;9;9;3792;3360;1824;576;360;24;2400
3;4;4;6;6;7;8;9;9;164;20;52;4;8;0;8
4;4;5;5;7;8;8;9;9;408;120;312;24;24;0;72
3;4;5;8;8;9;9;9;9;2976;1464;3720;24;588;276;576
3;6;7;7;8;8;9;9;9;5042;4394;5974;208;1640;854;1692
2;4;7;7;8;9;9;9;9;1836;1188;2700;76;500;212;400
3;4;7;7;8;8;8;9;9;1968;1536;1056;180;282;18;1056
2;4;4;7;8;8;8;9;9;384;168;156;48;24;0;96
3;5;6;7;7;7;8;9;9;998;674;298;22;550;10;92
5;5;7;7;9;9;9;9;9;8800;7936;23168;0;3456;1344;3136
5;5;5;5;8;9;9;9;9;2160;864;3024;0;432;0;432
3;3;5;5;7;9;9;9;9;408;120;312;24;48;0;48
3;4;5;7;8;9;9;9;9;2296;1108;2780;22;476;174;436
2;3;7;9;9;9;9;9;9;1680;960;3360;0;480;0;480
3;5;6;8;8;8;9;9;9;4004;3140;4636;156;944;788;1252
6;7;7;7;7;8;8;9;9;7320;7032;3768;24;2904;24;4080
4;4;7;7;7;9;9;9;9;3600;2736;5040;176;1344;144;1072
2;3;5;6;7;8;8;9;9;175;67;77;11;24;0;32
3;3;6;8;8;8;8;9;9;1224;792;504;108;72;0;612
3;4;7;7;8;9;9;9;9;3268;2404;5372;82;946;480;896
2;4;5;5;7;8;9;9;9;308;92;196;20;32;24;16
4;6;6;7;8;8;9;9;9;5924;4844;6820;88;1920;900;1936
