encodings,"(4,)","(1, 2)","(2,)","(1, 3)","(1, 1, 2)","(1,)","(2, 2)","(3,)","(1, 1, 1)","(1, 1)","(1, 1, 1, 1)"
"[0, 0, 0, 0]",24,0,12,0,0,4,0,24,0,-12,0
"[0, 0, 0, 1]",24,0,12,0,0,4,0,24,0,-12,0
"[0, 0, 0, 2]",16,4,10,2,0,4,0,18,0,-4,0
"[0, 0, 0, 3]",8,8,8,4,0,4,0,12,0,4,0
"[0, 0, 1, 1]",24,0,12,0,0,4,0,24,0,-12,0
"[0, 0, 1, 2]",16,4,10,2,0,4,0,18,0,-4,0
"[0, 0, 1, 3]",8,8,8,4,0,4,0,12,0,4,0
"[0, 0, 2, 2]",8,8,8,4,0,4,0,12,0,4,0
"[0, 0, 2, 3]",4,8,6,2,0,4,4,6,0,8,0
"[0, 1, 1, 1]",24,0,12,0,0,4,0,24,0,-12,0
"[0, 1, 1, 2]",16,4,10,2,0,4,0,18,0,-4,0
"[0, 1, 1, 3]",8,8,8,4,0,4,0,12,0,4,0
"[0, 1, 2, 2]",8,8,8,4,0,4,0,12,0,4,0
"[0, 1, 2, 3]",4,8,6,2,0,4,4,6,0,8,0
