encodings,"(4,)","(1, 2)","(2,)","(1, 3)","(1, 1, 2)","(1, 4)","(5,)","(1, 2, 2)","(1,)","(1, 1, 1, 1, 1)","(2, 2)","(3,)","(2, 3)","(1, 1, 1)","(1, 1)","(1, 1, 1, 2)","(1, 1, 1, 1)","(1, 1, 3)"
"[0, 0, 0, 0, 0]",120,0,20,0,0,0,120,0,5,,0,60,0,0,0,0,0,0
"[0, 0, 0, 0, 1]",120,0,20,0,0,0,120,0,5,,0,60,0,0,0,0,0,0
"[0, 0, 0, 0, 2]",96,3,18,6,0,6,90,0,5,,0,51,0,0,2,0,0,0
"[0, 0, 0, 0, 3]",72,6,16,12,0,12,60,0,5,,0,42,0,0,4,0,0,0
"[0, 0, 0, 0, 4]",48,9,14,18,0,18,30,0,5,,0,33,0,0,6,0,0,0
"[0, 0, 0, 1, 1]",120,0,20,0,0,0,120,0,5,,0,60,0,0,0,0,0,0
"[0, 0, 0, 1, 2]",96,3,18,6,0,6,90,0,5,,0,51,0,0,2,0,0,0
"[0, 0, 0, 1, 3]",72,6,16,12,0,12,60,0,5,,0,42,0,0,4,0,0,0
"[0, 0, 0, 1, 4]",48,9,14,18,0,18,30,0,5,,0,33,0,0,6,0,0,0
"[0, 0, 0, 2, 2]",72,6,16,12,0,12,60,0,5,,0,42,0,0,4,0,0,0
"[0, 0, 0, 2, 3]",52,9,14,14,0,12,40,0,5,,4,33,2,0,6,0,0,0
"[0, 0, 0, 2, 4]",32,12,12,16,0,12,20,0,5,,8,24,4,0,8,0,0,0
"[0, 0, 0, 3, 3]",32,12,12,16,0,12,20,0,5,,8,24,4,0,8,0,0,0
"[0, 0, 0, 3, 4]",16,15,10,14,0,6,10,0,5,,16,15,8,0,10,0,0,0
"[0, 0, 1, 1, 1]",120,0,20,0,0,0,120,0,5,,0,60,0,0,0,0,0,0
"[0, 0, 1, 1, 2]",96,3,18,6,0,6,90,0,5,,0,51,0,0,2,0,0,0
"[0, 0, 1, 1, 3]",72,6,16,12,0,12,60,0,5,,0,42,0,0,4,0,0,0
"[0, 0, 1, 1, 4]",48,9,14,18,0,18,30,0,5,,0,33,0,0,6,0,0,0
"[0, 0, 1, 2, 2]",72,6,16,12,0,12,60,0,5,,0,42,0,0,4,0,0,0
"[0, 0, 1, 2, 3]",52,9,14,14,0,12,40,0,5,,4,33,2,0,6,0,0,0
"[0, 0, 1, 2, 4]",32,12,12,16,0,12,20,0,5,,8,24,4,0,8,0,0,0
"[0, 0, 1, 3, 3]",32,12,12,16,0,12,20,0,5,,8,24,4,0,8,0,0,0
"[0, 0, 1, 3, 4]",16,15,10,14,0,6,10,0,5,,16,15,8,0,10,0,0,0
"[0, 0, 2, 2, 2]",48,9,14,18,0,18,30,0,5,,0,33,0,0,6,0,0,0
"[0, 0, 2, 2, 3]",32,12,12,16,0,12,20,0,5,,8,24,4,0,8,0,0,0
"[0, 0, 2, 2, 4]",20,12,10,16,4,10,10,0,5,,4,18,2,6,10,0,0,4
"[0, 0, 2, 3, 3]",16,15,10,14,0,6,10,0,5,,16,15,8,0,10,0,0,0
"[0, 0, 2, 3, 4]",8,15,8,10,4,3,5,2,5,,16,9,7,6,12,0,0,0
"[0, 1, 1, 1, 1]",120,0,20,0,0,0,120,0,5,,0,60,0,0,0,0,0,0
"[0, 1, 1, 1, 2]",96,3,18,6,0,6,90,0,5,,0,51,0,0,2,0,0,0
"[0, 1, 1, 1, 3]",72,6,16,12,0,12,60,0,5,,0,42,0,0,4,0,0,0
"[0, 1, 1, 1, 4]",48,9,14,18,0,18,30,0,5,,0,33,0,0,6,0,0,0
"[0, 1, 1, 2, 2]",72,6,16,12,0,12,60,0,5,,0,42,0,0,4,0,0,0
"[0, 1, 1, 2, 3]",52,9,14,14,0,12,40,0,5,,4,33,2,0,6,0,0,0
"[0, 1, 1, 2, 4]",32,12,12,16,0,12,20,0,5,,8,24,4,0,8,0,0,0
"[0, 1, 1, 3, 3]",32,12,12,16,0,12,20,0,5,,8,24,4,0,8,0,0,0
"[0, 1, 1, 3, 4]",16,15,10,14,0,6,10,0,5,,16,15,8,0,10,0,0,0
"[0, 1, 2, 2, 2]",48,9,14,18,0,18,30,0,5,,0,33,0,0,6,0,0,0
"[0, 1, 2, 2, 3]",32,12,12,16,0,12,20,0,5,,8,24,4,0,8,0,0,0
"[0, 1, 2, 2, 4]",20,12,10,16,4,10,10,0,5,,4,18,2,6,10,0,0,4
"[0, 1, 2, 3, 3]",16,15,10,14,0,6,10,0,5,,16,15,8,0,10,0,0,0
"[0, 1, 2, 3, 4]",8,15,8,10,4,3,5,2,5,,16,9,7,6,12,0,0,0
