encodings,"(1, 2, 3)","(1, 1, 1, 4)","(1, 1, 1, 1, 1, 2)","(1,)","(1, 1, 1, 1, 3)","(2, 2)","(3,)","(1, 1, 5)","(1, 3)","(1, 1, 2)","(1, 4)","(5,)","(1, 2, 2)","(3, 3)","(3, 4)","(6,)","(1, 1, 1, 1, 1)","(1, 1, 1, 2, 2)","(1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(4,)","(1, 2)","(2, 5)","(1, 1, 1, 1, 1, 1)","(1, 6)","(2, 2, 3)","(7,)","(1, 1, 2, 3)","(2,)","(1, 1, 2, 2)","(1, 3, 3)","(1, 2, 2, 2)","(1, 5)","(1, 1, 1, 3)","(1, 1, 1, 1, 2)","(2, 3)","(1, 1, 4)","(2, 4)","(1, 1, 1, 2)","(1, 1, 3)","(1, 1, 1, 1, 1, 1, 1)","(1, 2, 4)","(2, 2, 2)"
"[0, 0, 0, 0, 0, 0, 0]",0,0,,7,,0,210,0,0,0,0,2520,0,0,0,5040,,,0,0,0,840,0,0,,0,0,5040,0,42,0,0,0,0,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 1]",0,0,,7,,0,210,0,0,0,0,2520,0,0,0,5040,,,0,0,0,840,0,0,,0,0,5040,0,42,0,0,0,0,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 2]",0,0,,7,,0,195,0,20,0,60,2220,0,0,0,4320,,,0,2,0,760,5,0,,120,0,4200,0,40,0,0,0,120,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 3]",0,0,,7,,0,180,0,40,0,120,1920,0,0,0,3600,,,0,4,0,680,10,0,,240,0,3360,0,38,0,0,0,240,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 4]",0,0,,7,,0,165,0,60,0,180,1620,0,0,0,2880,,,0,6,0,600,15,0,,360,0,2520,0,36,0,0,0,360,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 5]",0,0,,7,,0,150,0,80,0,240,1320,0,0,0,2160,,,0,8,0,520,20,0,,480,0,1680,0,34,0,0,0,480,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 6]",0,0,,7,,0,135,0,100,0,300,1020,0,0,0,1440,,,0,10,0,440,25,0,,600,0,840,0,32,0,0,0,600,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 1, 1]",0,0,,7,,0,210,0,0,0,0,2520,0,0,0,5040,,,0,0,0,840,0,0,,0,0,5040,0,42,0,0,0,0,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 1, 2]",0,0,,7,,0,195,0,20,0,60,2220,0,0,0,4320,,,0,2,0,760,5,0,,120,0,4200,0,40,0,0,0,120,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 1, 3]",0,0,,7,,0,180,0,40,0,120,1920,0,0,0,3600,,,0,4,0,680,10,0,,240,0,3360,0,38,0,0,0,240,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 1, 4]",0,0,,7,,0,165,0,60,0,180,1620,0,0,0,2880,,,0,6,0,600,15,0,,360,0,2520,0,36,0,0,0,360,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 1, 5]",0,0,,7,,0,150,0,80,0,240,1320,0,0,0,2160,,,0,8,0,520,20,0,,480,0,1680,0,34,0,0,0,480,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 1, 6]",0,0,,7,,0,135,0,100,0,300,1020,0,0,0,1440,,,0,10,0,440,25,0,,600,0,840,0,32,0,0,0,600,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 2, 2]",0,0,,7,,0,180,0,40,0,120,1920,0,0,0,3600,,,0,4,0,680,10,0,,240,0,3360,0,38,0,0,0,240,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 2, 3]",0,0,,7,,4,165,0,56,0,162,1650,0,0,0,2988,,,0,6,0,604,15,12,,300,0,2688,0,36,0,0,0,312,0,,6,0,12,0,0,,0,0
"[0, 0, 0, 0, 0, 2, 4]",0,0,,7,,8,150,0,72,0,204,1380,0,0,0,2376,,,0,8,0,528,20,24,,360,0,2016,0,34,0,0,0,384,0,,12,0,24,0,0,,0,0
"[0, 0, 0, 0, 0, 2, 5]",0,0,,7,,12,135,0,88,0,246,1110,0,0,0,1764,,,0,10,0,452,25,36,,420,0,1344,0,32,0,0,0,456,0,,18,0,36,0,0,,0,0
"[0, 0, 0, 0, 0, 2, 6]",0,0,,7,,16,120,0,104,0,288,840,0,0,0,1152,,,0,12,0,376,30,48,,480,0,672,0,30,0,0,0,528,0,,24,0,48,0,0,,0,0
"[0, 0, 0, 0, 0, 3, 3]",0,0,,7,,8,150,0,72,0,204,1380,0,0,0,2376,,,0,8,0,528,20,24,,360,0,2016,0,34,0,0,0,384,0,,12,0,24,0,0,,0,0
"[0, 0, 0, 0, 0, 3, 4]",0,0,,7,,16,135,0,84,0,228,1140,0,0,0,1872,,,0,10,0,456,25,48,,360,0,1512,0,32,0,0,0,408,0,,24,0,48,0,0,,0,0
"[0, 0, 0, 0, 0, 3, 5]",0,0,,7,,24,120,0,96,0,252,900,0,0,0,1368,,,0,12,0,384,30,72,,360,0,1008,0,30,0,0,0,432,0,,36,0,72,0,0,,0,0
"[0, 0, 0, 0, 0, 3, 6]",0,0,,7,,32,105,0,108,0,276,660,0,0,0,864,,,0,14,0,312,35,96,,360,0,504,0,28,0,0,0,456,0,,48,0,96,0,0,,0,0
"[0, 0, 0, 0, 0, 4, 4]",0,0,,7,,24,120,0,96,0,252,900,0,0,0,1368,,,0,12,0,384,30,72,,360,0,1008,0,30,0,0,0,432,0,,36,0,72,0,0,,0,0
"[0, 0, 0, 0, 0, 4, 5]",0,0,,7,,36,105,0,104,0,258,690,0,0,0,972,,,0,14,0,316,35,108,,300,0,672,0,28,0,0,0,408,0,,54,0,108,0,0,,0,0
"[0, 0, 0, 0, 0, 4, 6]",0,0,,7,,48,90,0,112,0,264,480,0,0,0,576,,,0,16,0,248,40,144,,240,0,336,0,26,0,0,0,384,0,,72,0,144,0,0,,0,0
"[0, 0, 0, 0, 0, 5, 5]",0,0,,7,,48,90,0,112,0,264,480,0,0,0,576,,,0,16,0,248,40,144,,240,0,336,0,26,0,0,0,384,0,,72,0,144,0,0,,0,0
"[0, 0, 0, 0, 0, 5, 6]",0,0,,7,,64,75,0,116,0,252,300,0,0,0,288,,,0,18,0,184,45,192,,120,0,168,0,24,0,0,0,312,0,,96,0,192,0,0,,0,0
"[0, 0, 0, 0, 1, 1, 1]",0,0,,7,,0,210,0,0,0,0,2520,0,0,0,5040,,,0,0,0,840,0,0,,0,0,5040,0,42,0,0,0,0,0,,0,0,0,0,0,,0,0
