encodings,"(1, 2, 3)","(1, 1, 1, 4)","(1, 1, 1, 1, 1, 2)","(8,)","(1,)","(1, 1, 1, 1, 3)","(2, 2)","(3,)","(1, 1, 1, 5)","(1, 1, 5)","(1, 1, 2, 2, 2)","(1, 2, 5)","(1, 3)","(1, 1, 2)","(1, 4)","(2, 6)","(5,)","(1, 2, 2)","(3, 3)","(3, 4)","(1, 1, 1, 1, 1, 3)","(6,)","(1, 1, 1, 1, 1)","(1, 1, 1, 2, 2)","(1, 1, 3, 3)","(1, 1, 1)","(2, 3, 3)","(1, 1)","(1, 1, 1, 1)","(2, 2, 2, 2)","(4,)","(1, 2)","(2, 5)","(1, 1, 1, 1, 2, 2)","(1, 1, 1, 1, 1, 1)","(2, 2, 4)","(1, 1, 1, 2, 3)","(1, 6)","(2, 2, 3)","(4, 4)","(1, 1, 1, 1, 1, 1, 2)","(7,)","(1, 7)","(1, 1, 2, 3)","(1, 1, 1, 1, 4)","(1, 3, 4)","(2,)","(1, 2, 2, 3)","(1, 1, 2, 2)","(1, 3, 3)","(1, 1, 6)","(1, 2, 2, 2)","(1, 1, 2, 4)","(1, 5)","(1, 1, 1, 1, 1, 1, 1, 1)","(1, 1, 1, 3)","(1, 1, 1, 1, 2)","(2, 3)","(1, 1, 4)","(3, 5)","(2, 4)","(1, 1, 1, 2)","(1, 1, 3)","(1, 1, 1, 1, 1, 1, 1)","(1, 2, 4)","(2, 2, 2)"
"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,,40320,8,,0,336,0,0,,0,0,0,0,0,6720,0,0,0,,20160,,,0,0,0,0,0,0,1680,0,0,,,0,,0,0,0,,40320,0,0,,0,56,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 0, 1]",0,0,,40320,8,,0,336,0,0,,0,0,0,0,0,6720,0,0,0,,20160,,,0,0,0,0,0,0,1680,0,0,,,0,,0,0,0,,40320,0,0,,0,56,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 0, 2]",0,0,,34560,8,,0,318,0,0,,0,30,0,120,0,6120,0,0,0,,18000,,,0,0,0,2,0,0,1560,6,0,,,0,,720,0,0,,35280,720,0,,0,54,0,0,0,0,0,0,360,,0,,0,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 0, 3]",0,0,,28800,8,,0,300,0,0,,0,60,0,240,0,5520,0,0,0,,15840,,,0,0,0,4,0,0,1440,12,0,,,0,,1440,0,0,,30240,1440,0,,0,52,0,0,0,0,0,0,720,,0,,0,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 0, 4]",0,0,,23040,8,,0,282,0,0,,0,90,0,360,0,4920,0,0,0,,13680,,,0,0,0,6,0,0,1320,18,0,,,0,,2160,0,0,,25200,2160,0,,0,50,0,0,0,0,0,0,1080,,0,,0,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 0, 5]",0,0,,17280,8,,0,264,0,0,,0,120,0,480,0,4320,0,0,0,,11520,,,0,0,0,8,0,0,1200,24,0,,,0,,2880,0,0,,20160,2880,0,,0,48,0,0,0,0,0,0,1440,,0,,0,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 0, 6]",0,0,,11520,8,,0,246,0,0,,0,150,0,600,0,3720,0,0,0,,9360,,,0,0,0,10,0,0,1080,30,0,,,0,,3600,0,0,,15120,3600,0,,0,46,0,0,0,0,0,0,1800,,0,,0,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 0, 7]",0,0,,5760,8,,0,228,0,0,,0,180,0,720,0,3120,0,0,0,,7200,,,0,0,0,12,0,0,960,36,0,,,0,,4320,0,0,,10080,4320,0,,0,44,0,0,0,0,0,0,2160,,0,,0,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 1, 1]",0,0,,40320,8,,0,336,0,0,,0,0,0,0,0,6720,0,0,0,,20160,,,0,0,0,0,0,0,1680,0,0,,,0,,0,0,0,,40320,0,0,,0,56,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 1, 2]",0,0,,34560,8,,0,318,0,0,,0,30,0,120,0,6120,0,0,0,,18000,,,0,0,0,2,0,0,1560,6,0,,,0,,720,0,0,,35280,720,0,,0,54,0,0,0,0,0,0,360,,0,,0,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 1, 3]",0,0,,28800,8,,0,300,0,0,,0,60,0,240,0,5520,0,0,0,,15840,,,0,0,0,4,0,0,1440,12,0,,,0,,1440,0,0,,30240,1440,0,,0,52,0,0,0,0,0,0,720,,0,,0,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 1, 4]",0,0,,23040,8,,0,282,0,0,,0,90,0,360,0,4920,0,0,0,,13680,,,0,0,0,6,0,0,1320,18,0,,,0,,2160,0,0,,25200,2160,0,,0,50,0,0,0,0,0,0,1080,,0,,0,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 1, 5]",0,0,,17280,8,,0,264,0,0,,0,120,0,480,0,4320,0,0,0,,11520,,,0,0,0,8,0,0,1200,24,0,,,0,,2880,0,0,,20160,2880,0,,0,48,0,0,0,0,0,0,1440,,0,,0,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 1, 6]",0,0,,11520,8,,0,246,0,0,,0,150,0,600,0,3720,0,0,0,,9360,,,0,0,0,10,0,0,1080,30,0,,,0,,3600,0,0,,15120,3600,0,,0,46,0,0,0,0,0,0,1800,,0,,0,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 1, 7]",0,0,,5760,8,,0,228,0,0,,0,180,0,720,0,3120,0,0,0,,7200,,,0,0,0,12,0,0,960,36,0,,,0,,4320,0,0,,10080,4320,0,,0,44,0,0,0,0,0,0,2160,,0,,0,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 2, 2]",0,0,,28800,8,,0,300,0,0,,0,60,0,240,0,5520,0,0,0,,15840,,,0,0,0,4,0,0,1440,12,0,,,0,,1440,0,0,,30240,1440,0,,0,52,0,0,0,0,0,0,720,,0,,0,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 2, 3]",0,0,,24000,8,,4,282,0,0,,0,86,0,336,48,4960,0,0,0,,13896,,,0,0,0,6,0,0,1324,18,48,,,0,,1920,0,0,,25872,1872,0,,0,50,0,0,0,0,0,0,984,,0,,8,0,0,24,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 2, 4]",0,0,,19200,8,,8,264,0,0,,0,112,0,432,96,4400,0,0,0,,11952,,,0,0,0,8,0,0,1208,24,96,,,0,,2400,0,0,,21504,2304,0,,0,48,0,0,0,0,0,0,1248,,0,,16,0,0,48,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 2, 5]",0,0,,14400,8,,12,246,0,0,,0,138,0,528,144,3840,0,0,0,,10008,,,0,0,0,10,0,0,1092,30,144,,,0,,2880,0,0,,17136,2736,0,,0,46,0,0,0,0,0,0,1512,,0,,24,0,0,72,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 2, 6]",0,0,,9600,8,,16,228,0,0,,0,164,0,624,192,3280,0,0,0,,8064,,,0,0,0,12,0,0,976,36,192,,,0,,3360,0,0,,12768,3168,0,,0,44,0,0,0,0,0,0,1776,,0,,32,0,0,96,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 2, 7]",0,0,,4800,8,,20,210,0,0,,0,190,0,720,240,2720,0,0,0,,6120,,,0,0,0,14,0,0,860,42,240,,,0,,3840,0,0,,8400,3600,0,,0,42,0,0,0,0,0,0,2040,,0,,40,0,0,120,0,0,,0,0
