i1;i2;i3;i4;i5;i6;i7;i8;i9;only l3 correct;only l+3 correct;both correct;only l+3 correct (1);only l+3 correct (2);only l+3 correct (3);only l+3 correct (4)
2;3;4;5;6;7;8;9;9;29;2;7;0;1;0;1
2;3;4;5;6;7;9;9;9;58;4;14;0;2;0;2
2;3;4;5;6;8;8;9;9;41;5;13;1;1;0;3
2;3;4;5;6;8;9;9;9;80;8;28;0;4;0;4
2;3;4;5;6;9;9;9;9;102;12;42;0;6;0;6
2;3;4;5;7;7;8;9;9;47;11;7;1;8;0;2
2;3;4;5;7;7;9;9;9;94;22;14;2;16;0;4
2;3;4;5;7;8;8;9;9;82;10;26;2;2;0;6
2;3;4;5;7;8;9;9;9;149;23;49;1;8;6;8
2;3;4;5;7;9;9;9;9;204;24;84;0;12;0;12
2;3;4;5;8;8;8;9;9;118;28;26;4;4;0;20
2;3;4;5;8;8;9;9;9;218;38;70;2;12;12;12
2;3;4;5;8;9;9;9;9;306;36;126;0;18;0;18
2;3;4;5;9;9;9;9;9;408;48;168;0;24;0;24
2;3;4;6;6;7;8;9;9;59;5;13;1;2;0;2
2;3;4;6;6;7;9;9;9;118;10;26;2;4;0;4
2;3;4;6;6;8;8;9;9;83;11;25;5;2;0;4
2;3;4;6;6;8;9;9;9;164;20;52;4;8;0;8
2;3;4;6;6;9;9;9;9;210;30;78;6;12;0;12
2;3;4;6;7;7;8;9;9;94;22;14;2;16;0;4
2;3;4;6;7;7;9;9;9;188;44;28;4;32;0;8
2;3;4;6;7;8;8;9;9;159;33;39;4;12;0;17
2;3;4;6;7;8;9;9;9;305;53;91;4;26;7;16
2;3;4;6;7;9;9;9;9;422;62;154;4;32;2;24
2;3;4;6;8;8;8;9;9;236;56;52;8;8;0;40
2;3;4;6;8;8;9;9;9;436;76;140;4;24;24;24
2;3;4;6;8;9;9;9;9;624;84;240;2;34;12;36
2;3;4;6;9;9;9;9;9;816;96;336;0;48;0;48
2;3;4;7;7;7;8;9;9;130;40;14;2;32;0;6
2;3;4;7;7;7;9;9;9;260;80;28;4;64;0;12
2;3;4;7;7;8;8;9;9;236;56;52;6;22;0;28
2;3;4;7;7;8;9;9;9;455;95;121;6;46;14;29
2;3;4;7;7;9;9;9;9;640;100;224;8;52;4;36
2;3;4;7;8;8;8;9;9;354;84;78;12;12;0;60
2;3;4;7;8;8;9;9;9;664;124;200;8;32;36;48
2;3;4;7;8;9;9;9;9;942;132;354;4;50;24;54
2;3;4;7;9;9;9;9;9;1224;144;504;0;72;0;72
