i1;i2;i3;i4;i5;i6;i7;i8;i9;only l3 correct;only l+3 correct;both correct;only l+3 correct (1);only l+3 correct (2);only l+3 correct (3);only l+3 correct (4)
2;3;5;6;8;8;9;9;9;468;180;252;12;72;38;58
3;9;9;9;9;9;9;9;9;8640;8640;82080;0;7200;1440;0
6;7;7;7;7;8;9;9;9;11040;10464;11136;0;5856;792;3816
3;4;6;7;9;9;9;9;9;3344;2048;5728;24;972;248;804
8;8;9;9;9;9;9;9;9;10080;10080;262080;0;0;8640;1440
5;5;6;7;7;8;8;9;9;2952;2088;1800;72;792;36;1188
2;4;5;5;6;7;8;9;9;80;8;28;2;4;0;2
2;3;4;6;7;8;8;9;9;159;33;39;4;12;0;17
2;5;5;7;7;9;9;9;9;1040;608;1336;64;344;24;176
3;5;5;6;8;8;8;9;9;1066;742;554;130;120;14;478
5;6;6;6;8;9;9;9;9;6120;4824;10728;0;2268;384;2172
6;6;6;6;6;9;9;9;9;3600;1440;5040;0;720;0;720
6;6;6;6;7;9;9;9;9;5760;4032;8928;0;2016;144;1872
3;5;6;7;9;9;9;9;9;4232;3152;8512;68;1476;456;1152
3;6;8;8;8;8;8;9;9;6024;5772;2868;696;396;54;4626
3;3;4;6;6;8;8;9;9;166;22;50;10;4;0;8
3;4;5;5;7;8;9;9;9;479;191;385;16;64;55;56
6;8;8;8;9;9;9;9;9;18000;18000;111600;0;2736;9072;6192
5;5;5;7;8;9;9;9;9;4680;3384;8280;0;1548;336;1500
3;4;4;5;9;9;9;9;9;768;192;672;0;96;0;96
4;4;5;6;6;9;9;9;9;744;312;984;24;144;12;132
6;6;7;8;8;8;8;9;9;11760;11472;5808;624;1344;108;9396
7;7;7;7;8;8;8;9;9;12960;12960;6480;0;2880;0;10080
2;5;5;6;6;8;8;9;9;208;64;152;24;16;0;24
4;5;5;5;9;9;9;9;9;2160;864;3024;0;432;0;432
2;6;7;7;8;8;9;9;9;2628;2196;2988;168;888;388;752
3;3;6;9;9;9;9;9;9;3600;1440;5040;0;720;0;720
2;7;7;8;9;9;9;9;9;4140;3960;13320;228;1980;798;954
5;6;7;7;8;8;9;9;9;9588;8724;12012;96;3288;1500;3840
2;5;7;9;9;9;9;9;9;3264;2832;10128;96;1488;312;936
2;5;6;6;6;7;9;9;9;624;84;240;12;48;0;24
2;4;5;6;6;7;8;9;9;145;19;53;3;10;0;6
5;8;8;8;8;8;9;9;9;18912;18912;32928;480;2016;5184;11232
2;5;5;6;6;7;9;9;9;416;56;160;8;32;0;16
5;6;7;7;8;8;8;9;9;7204;6664;3704;360;1368;78;4858
3;4;5;6;7;7;9;9;9;776;344;232;20;260;6;58
4;7;7;7;8;9;9;9;9;9276;8628;20532;108;3228;1836;3456
4;6;7;7;7;8;8;9;9;3710;3170;2014;120;1280;44;1726
3;5;5;8;8;9;9;9;9;3504;2208;5568;24;912;408;864
3;4;4;7;7;7;9;9;9;608;320;112;16;256;0;48
2;3;6;6;7;8;9;9;9;364;184;248;14;96;16;58
7;7;7;7;7;7;9;9;9;10080;10080;2880;0;8640;0;1440
7;7;7;7;7;7;8;9;9;5040;5040;1440;0;4320;0;720
2;3;4;6;6;8;8;9;9;83;11;25;5;2;0;4
2;3;4;8;8;8;9;9;9;892;172;260;12;40;48;72
3;4;7;7;7;8;8;9;9;1312;1024;704;84;412;12;516
2;4;8;8;9;9;9;9;9;2592;2016;6624;48;912;288;768
2;5;5;7;8;8;8;9;9;790;574;398;118;108;4;344
5;5;5;8;8;8;9;9;9;5184;4320;6048;288;1296;936;1800
3;4;4;6;8;8;9;9;9;880;304;560;16;96;96;96
2;3;4;6;8;8;8;9;9;236;56;52;8;8;0;40
3;5;5;7;7;8;8;9;9;1064;632;664;48;232;16;336
3;4;4;6;6;7;9;9;9;328;40;104;8;16;0;16
3;4;6;6;6;9;9;9;9;768;336;960;36;156;18;126
2;3;5;5;6;8;9;9;9;92;20;52;4;8;0;8
4;4;5;5;8;9;9;9;9;1080;432;1512;0;216;0;216
3;7;9;9;9;9;9;9;9;8640;8640;56160;0;5328;1872;1440
4;8;8;8;9;9;9;9;9;12960;12960;64800;0;4176;5040;3744
6;6;6;6;8;8;8;9;9;4800;3936;2544;672;672;48;2544
5;5;5;6;6;7;8;9;9;816;96;336;0;48;0;48
2;4;4;5;6;8;8;9;9;46;10;26;5;2;0;3
4;4;5;5;6;8;9;9;9;384;96;336;0;48;0;48
2;3;6;6;6;7;9;9;9;212;32;76;4;16;0;12
3;5;6;7;8;8;9;9;9;3227;2417;3415;109;918;508;882
3;3;6;7;8;8;9;9;9;1468;820;1124;56;280;176;308
5;5;8;8;8;9;9;9;9;10800;10152;28728;0;3240;2736;4176
2;4;6;7;9;9;9;9;9;1860;996;2892;72;516;96;312
2;4;7;7;7;9;9;9;9;1368;936;1656;80;496;32;328
3;6;6;8;8;8;8;9;9;3756;3324;1860;456;348;48;2472
2;4;7;9;9;9;9;9;9;2532;1956;6684;48;984;156;768
2;6;6;7;7;7;9;9;9;1332;900;396;36;756;0;108
